id,home,score,away
1,Patetico Mineiro,0-1,Pompy FC
2,ApoelKan,3-1,Paris Saint Germano
3,Real Pollo,4-0,Medusa Team
4,Godopoli Sportiva,2-0,Ire Framba United
5,Team Barco FC,1-3,Reggisenal
