id,home,score,away
1,Medusa Team,0-4,Team Barco FC
2,Paris Saint Germano,1-0,Real Pollo
3,Reggisenal,0-1,Patetico Mineiro
4,Pompy FC,0-0,Godopoli Sportiva
5,Ire Framba United,0-0,ApoelKan
