id,home,score,away
1,Medusa Team,1-1,Pompy FC
2,Paris Saint Germano,0-1,Patetico Mineiro
3,Reggisenal,1-0,Godopoli Sportiva
4,ApoelKan,2-4,Real Pollo
5,Ire Framba United,0-0,Team Barco FC
