id,home,score,away
1,Patetico Mineiro,2-1,Medusa Team
2,Real Pollo,2-2,Ire Framba United
3,Godopoli Sportiva,0-1,ApoelKan
4,Pompy FC,0-1,Reggisenal
5,Team Barco FC,2-2,Paris Saint Germano
