id,home,score,away
1,MedusaTeam WFC - IL BLOCCO - Atalantus,0-3,AMAGGGICA 1893
2,Paris Saint Germano,1-3,Ire Framba United
3,Patetico Mineiro,1-1,Godopolisportiva Antonio Ricci
4,Reggisenal,1-2,Real Pollo
5,Pompy FC,2-1,Team Barco FC
