Pos;Squadra;;G;V;N;P;Gf;Gs;Dr;Pt.;Pt. Totali
1;Patetico Mineiro;;3;3;0;0;4;1;3;9;212
2;Reggisenal;;3;2;0;1;2;1;1;6;199
3;Team Barco FC;;3;1;2;0;6;2;4;5;219,5
4;Real Pollo;;3;1;1;1;6;5;1;4;226,5
5;Paris Saint Germano;;3;1;1;1;3;3;0;4;209,5
6;Apoel Kan 1893;;3;1;1;1;3;4;-1;4;204
7;Ire Framba United;;3;0;3;0;2;2;0;3;206,5
8;Pompy FC;;3;0;2;1;1;2;-1;2;191
9;MedusaTeam WFC;;3;0;1;2;2;7;-5;1;198,5
10;Godopolisportiva Antonio Ricci;;3;0;1;2;0;2;-2;1;189,5
