Pos;Squadra;;G;V;N;P;Gf;Gs;Dr;Pt.;Pt. Totali
1;Patetico Mineiro;;2;2;0;0;3;1;2;6;144,5
2;Reggisenal;;2;2;0;0;2;0;2;6;138,5
3;Real Pollo;;2;1;1;0;6;4;2;4;161
4;Apoel Kan 1893;;2;1;0;1;3;4;-1;3;141
5;Ire Framba United;;2;0;2;0;2;2;0;2;141
6;Team Barco FC;;2;0;2;0;2;2;0;2;134,5
7;Paris Saint Germano;;2;0;1;1;2;3;-1;1;139
8;MedusaTeam WFC;;2;0;1;1;2;3;-1;1;137
9;Pompy FC;;2;0;1;1;1;2;-1;1;129
10;Godopolisportiva Antonio Ricci;;2;0;0;2;0;2;-2;0;124,5
